id,name,category,description,marketing_application,trigger_context,difficulty
1,First Principles,Foundational Thinking,Break problems down to basic truths and build solutions from there using the 5 Whys technique,Don't copy competitors blindly—ask why you need a tactic and whether there's a better solution,strategy planning,beginner
2,Jobs to Be Done,Foundational Thinking,People don't buy products—they hire them to get a job done; focus on outcomes not features,Frame your product around the job it accomplishes rather than its specifications,positioning and messaging,beginner
3,Circle of Competence,Foundational Thinking,Know what you're good at and stay within it; venture outside only with proper learning,Don't chase every channel—double down where you have genuine expertise and competitive advantage,channel selection,beginner
4,Inversion,Foundational Thinking,Instead of asking how to succeed ask what would guarantee failure then avoid those things,List everything that would make your campaign fail then systematically prevent each,strategy planning,intermediate
5,Occam's Razor,Foundational Thinking,The simplest explanation is usually correct; avoid overcomplicating strategies,If conversions dropped check the obvious first (broken form or page speed) before complex attribution,low conversions,beginner
6,Pareto Principle,Foundational Thinking,Roughly 80% of results come from 20% of efforts; identify and focus on the vital few,Find the 20% of channels customers or content driving 80% of results and cut the rest,resource allocation,beginner
7,Local vs Global Optima,Foundational Thinking,A local optimum is the best solution nearby but a global optimum is the best overall,Optimizing email subject lines won't help if email isn't the right channel—zoom out first,growth stalling,intermediate
8,Theory of Constraints,Foundational Thinking,Every system has one bottleneck limiting throughput; find and fix it before optimizing elsewhere,If your funnel converts well but traffic is low fix the traffic bottleneck first,growth stalling,intermediate
9,Opportunity Cost,Foundational Thinking,Every choice has a cost—what you give up by not choosing alternatives,Time spent on a low-ROI channel is time not spent on high-ROI activities—always compare alternatives,resource allocation,beginner
10,Law of Diminishing Returns,Foundational Thinking,After a point additional investment yields progressively smaller gains,The 10th blog post won't have the same impact as the first—know when to diversify,resource allocation,intermediate
11,Second-Order Thinking,Foundational Thinking,Consider not just immediate effects but the effects of those effects,A flash sale boosts revenue (first order) but may train customers to wait for discounts (second order),strategy planning,advanced
12,Map ≠ Territory,Foundational Thinking,Models and data represent reality but aren't reality itself,Your customer persona is useful but real customers are more complex—stay in touch with actual users,research and insights,intermediate
13,Probabilistic Thinking,Foundational Thinking,Think in probabilities not certainties; estimate likelihoods and plan for multiple outcomes,Don't bet everything on one campaign—spread risk and plan for underperformance scenarios,strategy planning,advanced
14,Barbell Strategy,Foundational Thinking,Combine extreme safety with small high-risk high-reward bets; avoid the mediocre middle,Put 80% of budget into proven channels and 20% into experimental bets,budget allocation,intermediate
15,Fundamental Attribution Error,Understanding Buyers,People attribute others' behavior to character not circumstances,When customers don't convert examine your process before blaming them—the problem is usually situational,low conversions,intermediate
16,Mere Exposure Effect,Understanding Buyers,People prefer things they've seen before; familiarity breeds liking,Consistent brand presence builds preference over time—repetition across channels creates trust,brand awareness,beginner
