id,name,category,formula,benchmark_seed,benchmark_series_a,benchmark_series_b,interpretation,related_metrics
1,MRR,revenue,"Sum of all active subscriptions × monthly price","$10K-$50K","$200K-$800K","$1M-$3M","Core revenue health indicator; track Net New MRR breakdown (new + expansion - contraction - churn) to understand growth drivers","ARR;Growth Rate (MoM);Net New MRR;ARPU"
2,ARR,revenue,"MRR × 12","$120K-$600K","$2M-$10M","$12M-$36M","Annualized view preferred by investors; use for YoY comparisons and fundraising benchmarks","MRR;Growth Rate (YoY);Net Revenue Retention"
3,Growth Rate (MoM),revenue,"(Current Month MRR - Prior Month MRR) / Prior Month MRR","15-20% MoM","10-15% MoM","5-10% MoM","Sustained high MoM growth signals product-market fit; declining MoM is natural at scale but watch for sudden drops","MRR;ARR;Growth Rate (YoY)"
4,Growth Rate (YoY),revenue,"(Current Year ARR - Prior Year ARR) / Prior Year ARR","N/A (too early)","3-5x YoY","100%+ YoY","Better long-term trend indicator than MoM; less noisy and preferred by later-stage investors","ARR;Growth Rate (MoM);Rule of 40"
5,Net Revenue Retention (NRR),revenue,"(Beginning ARR + Expansion - Contraction - Churn) / Beginning ARR","80-100%","100-120%","110-130%","Above 100% means existing customers grow faster than churn; best-in-class SaaS exceeds 120%","Logo Churn Rate;Revenue Churn Rate;Expansion MRR;LTV"
6,CAC,unit_economics,"Total Sales & Marketing Spend / New Customers Acquired","$100-$500","$500-$2000","$1000-$5000","Include all S&M costs (salaries; tools; ads; overhead); segment by channel to find most efficient acquisition paths","LTV;LTV:CAC Ratio;CAC Payback Period;Magic Number"
7,LTV,unit_economics,"ARPU × Gross Margin% × (1 / Monthly Churn Rate)","$500-$2000","$3000-$10000","$10000-$50000","Higher LTV supports higher CAC spending; sensitivity-test by varying churn assumptions; segment by cohort and plan tier","CAC;LTV:CAC Ratio;ARPU;Churn Rate;Gross Margin"
8,LTV:CAC Ratio,unit_economics,"LTV / CAC",">1.0 (establishing)",">3.0",">3.5","Below 1.0 is unsustainable (losing money per customer); 3.0+ is healthy; above 5.0 may signal underinvestment in growth","CAC;LTV;CAC Payback Period;Growth Rate (MoM)"
9,CAC Payback Period,unit_economics,"CAC / (ARPU × Gross Margin%)","<18 months","<12 months","<12 months","Measures months to recoup acquisition cost; shorter payback preserves cash; >24 months is a red flag for investors","CAC;ARPU;Gross Margin;Burn Rate;Runway"
10,ARPU,unit_economics,"Total MRR / Total Active Customers","$50-$200/mo","$200-$1000/mo","$500-$2000/mo","Track trends over time; rising ARPU via upsells is a strong signal; segment by plan tier and customer size","MRR;LTV;CAC Payback Period;Expansion MRR"
11,Gross Margin,unit_economics,"(Revenue - COGS) / Revenue","50-70%","60-80%","65-85%","SaaS typically 70-85%; lower margins indicate high infrastructure or support costs; critical input to LTV and payback calculations","LTV;Contribution Margin;CAC Payback Period;ARPU"
12,Contribution Margin,unit_economics,"(Revenue - COGS - Variable Costs) / Revenue","30-50%","40-60%","50-70%","More granular than gross margin; includes variable S&M costs; shows true per-unit profitability after all variable expenses","Gross Margin;CAC;ARPU;Operating Leverage"
